Name|md5|Machine|SizeOfOptionalHeader|Characteristics|MajorLinkerVersion|MinorLinkerVersion|SizeOfCode|SizeOfInitializedData|SizeOfUninitializedData|AddressOfEntryPoint|BaseOfCode|BaseOfData|ImageBase|SectionAlignment|FileAlignment|MajorOperatingSystemVersion|MinorOperatingSystemVersion|MajorImageVersion|MinorImageVersion|MajorSubsystemVersion|MinorSubsystemVersion|SizeOfImage|SizeOfHeaders|CheckSum|Subsystem|DllCharacteristics|SizeOfStackReserve|SizeOfStackCommit|SizeOfHeapReserve|SizeOfHeapCommit|LoaderFlags|NumberOfRvaAndSizes|SectionsNb|SectionsMeanEntropy|SectionsMinEntropy|SectionsMaxEntropy|SectionsMeanRawsize|SectionsMinRawsize|SectionMaxRawsize|SectionsMeanVirtualsize|SectionsMinVirtualsize|SectionMaxVirtualsize|ImportsNbDLL|ImportsNb|ImportsNbOrdinal|ExportNb|ResourcesNb|ResourcesMeanEntropy|ResourcesMinEntropy|ResourcesMaxEntropy|ResourcesMeanSize|ResourcesMinSize|ResourcesMaxSize|LoadConfigurationSize|VersionInformationSize|legitimate
c04d5a70-ab20-11e6-a7bd-80e65024849a.file|83cc8a10f92173ae1b6a4fa731c69dbd|332|224|271|6|0|24576|164864|1024|12557|4096|28672|4194304|4096|512|4|0|6|0|4|0|253952|1024|0|2|32768|1048576|4096|1048576|4096|0|16|5|4.32500699614|0.0|6.43229528851|9728.0|0|24576|48362.8|4714|154936|7|153|1|0|14|4.11599916238|2.52183228636|6.26611549455|1163.07142857|104|4264|0|0|0
cfca5a23-c2b4-11e6-a678-80e65024849a.file|92ad7f8c7e236a2d078d4b533799f817|332|224|33166|2|25|1977344|660992|0|1983508|4096|1986560|4194304|4096|512|5|0|0|0|5|0|3235840|1024|0|2|0|1048576|16384|1048576|4096|0|16|11|3.77557622457|0.0|6.71846515988|239848.727273|0|1971712|291190.909091|24|1971484|22|593|0|1|64|3.53119837778|0.226954568544|7.9966761309|5915.765625|2|119019|0|10|0
e8964bf3-99fa-11e6-919e-80e65024849a.file|abdae9d862e3a355d469f05297276bdd|332|224|258|6|0|2265600|2369024|0|2273230|8192|2383872|4194304|8192|512|4|0|0|0|4|0|2392064|512|2389038|2|34112|1048576|4096|1048576|4096|0|16|3|3.98570508034|0.101910425663|7.96766889931|789845.333333|512|2265600|789392.0|12|2265224|1|1|0|0|15|3.9669917362|2.53967305574|7.30615170148|6806.8|174|67624|0|19|0
29ad588f-c364-11e6-85c5-80e65024849a.file|7cbcf1082aa6c0264d31cb3dd925c32a|332|224|33167|2|25|37888|42496|0|40000|4096|45056|4194304|4096|512|1|0|6|0|4|0|110592|1024|1476400063|2|32768|1048576|16384|1048576|4096|0|16|8|2.23417743525|0.0|6.71519218665|10048.0|0|38400|10614.0|8|38228|8|96|0|0|14|3.35008145974|2.41356664511|5.05007355156|2669.14285714|44|16936|0|15|0
e320fdcc-210c-11e7-aab2-80e65024849a.file|31d5f481153ccd2829558720f8d90d81|332|224|271|7|10|327680|749568|0|204993|4096|331776|4194304|4096|4096|4|0|0|0|4|0|1081344|4096|1109493|2|0|1048576|4096|1048576|4096|0|16|4|5.71114439524|3.70322277333|7.81560299434|264192.0|12288|630784|265760.25|28820|627336|15|427|2|0|85|4.09159426248|0.960953135828|7.99664015712|7325.37647059|20|182713|72|17|0
813c8b3a-adcb-11e6-8f74-80e65024849a.file|e6cf7a3c987ada0625981f2a654f5106|332|224|33167|2|25|987136|32768|1470464|2460976|1474560|2461696|4194304|4096|512|5|0|0|0|5|0|2494464|4096|1103757|2|0|1048576|16384|1048576|4096|0|16|3|4.01204573114|0.0|7.90476356518|339285.333333|0|987136|830122.666667|32768|1470464|12|17|0|0|75|6.55756703105|2.44524812209|7.86720915789|6529.56|16|223220|0|18|0
ea1744ab-c447-11e6-b4d2-80e65024849a.file|6b5410cf5fa90e28d32077088f3a3514|332|224|271|6|0|25600|186368|2048|12960|4096|32768|4194304|4096|512|4|0|6|0|4|0|331776|1024|0|2|34112|1048576|4096|1048576|4096|0|16|5|4.24490284551|0.0|6.48463588503|12390.4|0|29184|63554.2|5296|176088|7|166|1|0|17|4.01059797238|2.52183228636|6.26611549455|1649.0|118|9640|0|0|0
ae416b14-ab20-11e6-bd92-80e65024849a.file|07ef376407e658f847cd2fc947704d03|332|224|258|11|0|27136|1154560|0|27088|4096|32768|4194304|4096|512|6|3|6|3|5|1|1200128|1024|1212051|2|49472|262144|8192|1048576|4096|0|16|5|5.78424738742|3.17592784688|7.97449964136|236339.2|1024|1146368|237259.2|2240|1146060|8|156|5|0|42|3.75040161516|0.0|7.99954925576|27228.047619|4|1034207|92|8|0
c90feee6-ab20-11e6-8fb7-80e65024849a.file|0e9a211f76500fcb3f47f4ea3c94b1c5|332|224|8462|2|50|51200|18944|0|45842|4096|57344|268435456|4096|512|4|0|0|0|4|0|81920|1024|109449|2|0|1048576|4096|1048576|4096|0|16|4|5.18275575449|3.04800455669|6.17338603629|17152.0|512|51200|17242.75|256|50843|9|89|0|0|0|0|0|0|0|0|0|0|0|0
8bcac011-ac06-11e6-af10-80e65024849a.file|3c4de20e464146bec844471867bd1628|332|224|8462|2|50|51200|18944|0|45842|4096|57344|268435456|4096|512|4|0|0|0|4|0|81920|1024|77710|2|0|1048576|4096|1048576|4096|0|16|4|5.18279628644|3.04800455669|6.17339934358|17152.0|512|51200|17242.75|256|50843|9|89|0|0|0|0|0|0|0|0|0|0|0|0
